"WD  1TB BLUE WD10EZEX (SATA3/7200/64M),WD,HDD (PC용),1TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형),58000,http://timg.danawa.com/prod_img/500000/996/706/img/1706996_1.jpg"
"Seagate  1TB Barracuda ST1000DM010 (SATA3/7200/64M),Seagate,HDD (PC용),1TB,SATA3 (6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형),58000,http://timg.danawa.com/prod_img/500000/034/490/img/4490034_1.jpg"
"Seagate  4TB Barracuda ST4000DM004 (SATA3/5400/256M),Seagate,HDD (PC용),4TB,SATA3 (6Gb/s),5,400 RPM,메모리 256MB,8.9cm (3.5형),152000,http://timg.danawa.com/prod_img/500000/062/173/img/5173062_1.jpg"
"Toshiba  3TB DT01ACA300 (SATA3/7200/64M),Toshiba,HDD (PC용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형),108000,http://timg.danawa.com/prod_img/500000/206/795/img/1795206_1.jpg"
"Seagate  2TB Barracuda ST2000DM006 (SATA3/7200/64M),Seagate,HDD (PC용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형),87000,http://timg.danawa.com/prod_img/500000/440/354/img/4354440_1.jpg"
"WD  4TB BLUE WD40EZRZ (SATA3/5400/64M),WD,HDD (PC용),4TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,8.9cm (3.5형),152000,http://timg.danawa.com/prod_img/500000/288/440/img/3440288_1.jpg"
"HGST  4TB Deskstar NAS HDN726040ALE614 패키지 (SATA3/7200/128M),HGST,HDD (서버용),4TB,SATA3 (6Gb/s),7,200 RPM,메모리 128MB,26.1mm,192990,http://timg.danawa.com/prod_img/500000/498/897/img/4897498_1.jpg"
"Seagate  3TB Barracuda ST3000DM008 (SATA3/7200/64M),Seagate,HDD (PC용),3TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형),114000,http://timg.danawa.com/prod_img/500000/780/358/img/4358780_1.jpg"
"WD  4TB Red WD40EFRX (SATA3/64M),WD,HDD (서버용),4TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,26mm,199420,http://timg.danawa.com/prod_img/500000/162/212/img/2212162_1.jpg"
"Toshiba  2TB DT01ACA200 (SATA3/7200/64M),Toshiba,HDD (PC용),2TB,SATA3(6Gb/s),7,200 RPM,메모리 64MB,8.9cm (3.5형),83000,http://timg.danawa.com/prod_img/500000/810/790/img/1790810_1.jpg"
"Toshiba  4TB MD04ACA400 (SATA3/7200/128M),Toshiba,HDD (PC용),4TB,SATA3(6Gb/s),7,200 RPM,메모리 128MB,8.9cm (3.5형),168000,http://timg.danawa.com/prod_img/500000/364/835/img/3835364_1.jpg"
"WD  2TB BLUE WD20EZRZ (SATA3/5400/64M),WD,HDD (PC용),2TB,SATA3(6Gb/s),5,400 RPM,메모리 64MB,8.9cm (3.5형),85000,http://timg.danawa.com/prod_img/500000/055/474/img/3474055_1.jpg"
"Seagate  2TB Barracuda ST2000LM015 (SATA3/5400/128M/노트북용),Seagate,HDD (노트북용),2TB,SATA3 (6Gb/s),5,400 RPM,메모리 128MB,7mm,107500,http://timg.danawa.com/prod_img/500000/468/607/img/4607468_1.jpg"
"WD  1TB MOBILE BLUE WD10JPVX (SATA3/5400/8M/노트북용),WD,HDD (노트북용),1TB,SATA3(6Gb/s),5,400 RPM,메모리 8MB,9.5mm,60470,http://timg.danawa.com/prod_img/500000/867/035/img/2035867_1.jpg"
