"ASRock  B250M PRO4 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.5 x 24.5cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,113000,http://timg.danawa.com/prod_img/500000/959/811/img/4811959_1.jpg"
"MSI  B250M 박격포,MSI,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 1개,,O,O,O,,,,,,O,,PS/2 콤보 1개,O,,,,116000,http://timg.danawa.com/prod_img/500000/479/815/img/4815479_1.jpg"
"ASUS PRIME B250M-A STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 20.6cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,112000,http://timg.danawa.com/prod_img/500000/773/814/img/4814773_1.jpg"
"ASUS  B150M-A/M.2 iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B150,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,92210,http://timg.danawa.com/prod_img/500000/457/139/img/4139457_1.jpg"
"ASUS  H110M-K iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,,69690,http://timg.danawa.com/prod_img/500000/620/603/img/3603620_1.jpg"
"GIGABYTE  GA-B250M-DS3H 듀러블에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (22.6 x 19.3cm),DDR4,4개,최대 64GB,,,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,105000,http://timg.danawa.com/prod_img/500000/534/813/img/4813534_1.jpg"
"ASUS PRIME Z270-A iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,,250880,http://timg.danawa.com/prod_img/500000/536/810/img/4810536_1.jpg"
"ASRock  B250M PRO4 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,109000,http://timg.danawa.com/prod_img/500000/612/812/img/4812612_1.jpg"
"GIGABYTE  GA-H110M-DS2V 듀러블에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,,O,O,,,,,,,,O,,PS/2 콤보 1개,O,,,,68000,http://timg.danawa.com/prod_img/500000/387/535/img/3535387_1.jpg"
"ASRock  H110M-HDV 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (23.0 x 18.2cm),DDR4,2개,최대 32GB,,,,,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,77000,http://timg.danawa.com/prod_img/500000/586/455/img/3455586_1.jpg"
"ASRock  Z270 EXTREME 4 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (24.4 x 30.5cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 3개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,221000,http://timg.danawa.com/prod_img/500000/363/812/img/4812363_1.jpg"
"GIGABYTE  GA-H270-Gaming 3 게이밍에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) H270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,,,,,,,O,O,PS/2 콤보 1개,O,,,,181190,http://timg.danawa.com/prod_img/500000/956/822/img/4822956_1.jpg"
"MSI  H270 토마호크 아틱,MSI,인텔 CPU용,인텔(소켓1151),(인텔) H270,일반-ATX (30.4 x 24.3cm),DDR4,4개,,CrossFire,PCIe3.0 x16,,(M.2) 2개,,O,O,,,,,,,O,O,PS/2 콤보 1개,O,,,,170470,http://timg.danawa.com/prod_img/500000/881/816/img/4816881_1.jpg"
"ASUS ROG STRIX Z270F GAMING iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 23.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,,262680,http://timg.danawa.com/prod_img/500000/401/813/img/4813401_1.jpg"
"ASRock  H110M-DVS R2.0 디앤디컴,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,,,,O,O,,,,,,,,O,,PS/2 콤보 1개,O,,,,65000,http://timg.danawa.com/prod_img/500000/798/067/img/4067798_1.jpg"
"ASRock  B250M-HDV 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (22.5 x 18.5cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,93000,http://timg.danawa.com/prod_img/500000/957/811/img/4811957_1.jpg"
"ASUS PRIME B250M-A iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) B250,Micro-ATX (24.4 x 20.6cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 2개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,110430,http://timg.danawa.com/prod_img/500000/122/813/img/4813122_1.jpg"
"ASUS PRIME Z270-A STCOM,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,O,,,,,,O,O,PS/2 콤보 1개,O,,,,259460,http://timg.danawa.com/prod_img/500000/793/811/img/4811793_1.jpg"
"MSI  Z270 크레이트 게이밍,MSI,인텔 CPU용,인텔(소켓1151),(인텔) Z270,일반-ATX (30.5 x 24.4cm),DDR4,4개,최대 64GB,CrossFire X + SLI,PCIe3.0 x16,PCI-Express 3.0 x16,(M.2) 2개,,O,O,,,,,,,O,O,PS/2 콤보 1개,O,,,,223000,http://timg.danawa.com/prod_img/500000/882/816/img/4816882_1.jpg"
"ASRock  H110M-DVS R2.0 에즈윈,ASRock,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,,,,O,O,,,,,,,,O,,PS/2 콤보 1개,O,,,,66000,http://timg.danawa.com/prod_img/500000/335/067/img/4067335_1.jpg"
"ASUS  H81M-K iBORA,ASUS,인텔 CPU용,인텔(소켓1150),(인텔) H81,Micro-ATX (24.4 x 24.4cm),DDR3,2개,최대 16GB,,PCIe x16,없음,,O,O,,,,,,,,O,,PS/2 포트 2개,O,,,,61110,http://timg.danawa.com/prod_img/500000/504/477/img/2477504_1.jpg"
"GIGABYTE  GA-B150M-DS3H 듀러블에디션 피씨디렉트,GIGABYTE,인텔 CPU용,인텔(소켓1151),(인텔) B150,Micro-ATX (24.4 x 24.4cm),DDR4,4개,최대 64GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 콤보 1개,O,,,,88000,http://timg.danawa.com/prod_img/500000/801/554/img/3554801_1.jpg"
"ECS DURATHON2 H110M4-C2H 코잇,ECS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,,,,O,,O,,,,,,,O,,PS/2 포트 2개,O,,,,57360,http://timg.danawa.com/prod_img/500000/565/387/img/4387565_1.jpg"
"ASUS  H110M-A/M.2 iBORA,ASUS,인텔 CPU용,인텔(소켓1151),(인텔) H110,Micro-ATX (24.4 x 24.4cm),DDR4,2개,최대 32GB,,PCIe3.0 x16,,(M.2) 1개,O,O,O,,,,,,,O,,PS/2 포트 2개,O,,,,78270,http://timg.danawa.com/prod_img/500000/176/088/img/4088176_1.jpg"
