"삼성전자  DDR4 8G PC4-19200(정품),삼성전자,DDR4,PC용,1ea,미포함,8GB,2400MHz,,77240,http://timg.danawa.com/prod_img/500000/051/343/img/4343051_1.jpg"
"삼성전자  DDR4 8G PC4-17000(정품),삼성전자,DDR4,PC용,1ea,미포함,8GB,2133MHz,,76860,http://timg.danawa.com/prod_img/500000/268/879/img/2879268_1.jpg"
"ESSENCORE KLEVV DDR4 8G PC4-19200 CL15,ESSENCORE,DDR4,PC용,1ea,미포함,8GB,2400MHz,1.20V,78890,http://timg.danawa.com/prod_img/500000/512/076/img/5076512_1.jpg"
"G.SKILL  DDR4 16G PC4-24000 CL16 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,228990,http://timg.danawa.com/prod_img/500000/077/023/img/5023077_1.jpg"
"삼성전자  DDR4 4G PC4-17000(정품),삼성전자,DDR4,PC용,1ea,미포함,4GB,2133MHz,,38130,http://timg.danawa.com/prod_img/500000/068/871/img/2871068_1.jpg"
"삼성전자  DDR3 8G PC3-12800(정품),삼성전자,DDR3,PC용,1ea,미포함,8GB,1600MHz,,69030,http://timg.danawa.com/prod_img/500000/146/692/img/1692146_1.jpg"
"CORSAIR  DDR4 16GB PC4-24000 CL15 VENGEANCE RGB (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,235560,http://timg.danawa.com/prod_img/500000/720/041/img/5041720_1.jpg"
"타무즈  DDR4 8G PC4-19200 CL17,타무즈,DDR4,PC용,1ea,미포함,8GB,2400MHz,1.20V,66830,http://timg.danawa.com/prod_img/500000/440/093/img/5093440_1.jpg"
"삼성전자  DDR3 4G PC3-12800(정품),삼성전자,DDR3,PC용,1ea,미포함,4GB,1600MHz,1.50V,38900,http://timg.danawa.com/prod_img/500000/396/304/img/1304396_1.jpg"
"타무즈  DDR4 8G PC4-17000 CL15,타무즈,DDR4,PC용,1ea,미포함,8GB,2133MHz,1.20V,66290,http://timg.danawa.com/prod_img/500000/099/525/img/4525099_1.jpg"
"GeIL  DDR4 8G PC4-17000 CL15 PRISTINE,GeIL,DDR4,PC용,1ea,미포함,8GB,2133MHz,1.20V,67320,http://timg.danawa.com/prod_img/500000/570/971/img/3971570_1.jpg"
"삼성전자  DDR4 16G PC4-19200(정품),삼성전자,DDR4,PC용,1ea,미포함,16GB,2400MHz,,163250,http://timg.danawa.com/prod_img/500000/874/519/img/4519874_1.jpg"
"G.SKILL  DDR4 16G PC4-19200 CL15 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,2400MHz,1.20V,218580,http://timg.danawa.com/prod_img/500000/916/904/img/4904916_1.jpg"
"GeIL  DDR4 8G PC4-19200 CL16 EVO-X 화이트 RGB,GeIL,DDR4,PC용,1ea,포함,8GB,2400MHz,1.20V,98380,http://timg.danawa.com/prod_img/500000/989/988/img/4988989_1.jpg"
"GeIL  DDR4 16G PC4-24000 CL15 EVO-X RGB (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,192620,http://timg.danawa.com/prod_img/500000/438/541/img/4541438_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL16 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,260220,http://timg.danawa.com/prod_img/500000/070/905/img/4905070_1.jpg"
"G.SKILL  DDR4 32G PC4-19200 CL15 TRIDENT Z RGB (8Gx4),G.SKILL,DDR4,PC용,4ea,포함,32GB,2400MHz,1.20V,437160,http://timg.danawa.com/prod_img/500000/293/905/img/4905293_1.jpg"
"G.SKILL  DDR4 16G PC4-24000 CL15 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,249810,http://timg.danawa.com/prod_img/500000/994/904/img/4904994_1.jpg"
"GeIL  DDR4 8G PC4-19200 CL16 PRISTINE,GeIL,DDR4,PC용,1ea,미포함,8GB,2400MHz,1.20V,67270,http://timg.danawa.com/prod_img/500000/633/971/img/3971633_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT Z (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,415360,http://timg.danawa.com/prod_img/500000/286/717/img/3717286_1.jpg"
"G.SKILL  DDR4 16G PC4-24000 CL14 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,330940,http://timg.danawa.com/prod_img/500000/963/904/img/4904963_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL16 TRIDENT Z (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,223840,http://timg.danawa.com/prod_img/500000/724/439/img/3439724_1.jpg"
"TeamGroup  DDR4 8G PC4-17000 New Elite Plus Black Gold,TeamGroup,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,70120,http://timg.danawa.com/prod_img/500000/210/569/img/4569210_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT Z RGB (8Gx4),G.SKILL,DDR4,PC용,4ea,포함,32GB,3200MHz,1.35V,520430,http://timg.danawa.com/prod_img/500000/325/905/img/4905325_1.jpg"
"GeIL  DDR4 8G PC4-17000 CL15 SUPER LUCE WHITE 화이트,GeIL,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,81850,http://timg.danawa.com/prod_img/500000/758/982/img/3982758_1.jpg"
"ESSENCORE KLEVV DDR3 8G PC3-19200 CL11 URBANE (4Gx2),ESSENCORE,DDR3,PC용,2ea,포함,8GB,2400MHz,1.65V,78010,http://timg.danawa.com/prod_img/500000/428/355/img/3355428_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL16 TRIDENT ZKW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,227150,http://timg.danawa.com/prod_img/500000/107/589/img/4589107_1.jpg"
"G.SKILL  DDR4 8G PC4-21300 CL15 RIPJAWS V VR,G.SKILL,DDR4,PC용,1ea,포함,8GB,2666MHz,1.20V,89510,http://timg.danawa.com/prod_img/500000/662/564/img/4564662_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT ZSK (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,415360,http://timg.danawa.com/prod_img/500000/425/589/img/4589425_1.jpg"
"G.SKILL  DDR4 32G PC4-25600 CL16 TRIDENT ZKY (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3200MHz,1.35V,416230,http://timg.danawa.com/prod_img/500000/402/589/img/4589402_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL16 TRIDENT ZSK (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,224550,http://timg.danawa.com/prod_img/500000/170/589/img/4589170_1.jpg"
"ESSENCORE KLEVV DDR4 16G PC4-17000 CL15 CRAS RED (4Gx4),ESSENCORE,DDR4,PC용,4ea,포함,16GB,2133MHz,1.20V,191740,http://timg.danawa.com/prod_img/500000/081/354/img/3354081_1.jpg"
"GeIL  DDR4 8G PC4-17000 CL15 EVO-X 화이트 RGB,GeIL,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,92140,http://timg.danawa.com/prod_img/500000/939/988/img/4988939_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL14 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,333080,http://timg.danawa.com/prod_img/500000/041/905/img/4905041_1.jpg"
"마이크론 Crucial DDR4 8G PC4-17000,마이크론,DDR4,PC용,1ea,미포함,8GB,2133MHz,1.20V,67380,http://timg.danawa.com/prod_img/500000/607/796/img/2796607_1.jpg"
"GeIL  DDR4 16G PC4-25600 CL16 EVO-X RGB (8Gx2),GeIL,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,204010,http://timg.danawa.com/prod_img/500000/481/541/img/4541481_1.jpg"
