"마이크로닉스  Classic II 500W +12V Single Rail 85+,마이크로닉스,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,,O,O,O,,O,45500,http://timg.danawa.com/prod_img/500000/673/928/img/1928673_1.jpg"
"FSP  HYPER K 500W 80PLUS Standard 230V EU,FSP,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,O,45500,http://timg.danawa.com/prod_img/500000/451/027/img/4027451_1.jpg"
"POWEREX  REX III 500W Triple V2.3,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,42000,http://timg.danawa.com/prod_img/500000/471/905/img/905471_1.jpg"
"SuperFlower  SF-600R12A NOVA 80PLUS,SuperFlower,ATX 파워,정격 600W,,20핀+4핀,120mm 팬,O,,,,,O,56000,http://timg.danawa.com/prod_img/500000/328/168/img/5168328_1.jpg"
"마이크로닉스  Classic II 700W +12V Single Rail 85+,마이크로닉스,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,,O,O,O,,O,70500,http://timg.danawa.com/prod_img/500000/330/966/img/1966330_1.jpg"
"마이크로닉스  Classic II 600W +12V Single Rail 85+,마이크로닉스,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,,O,O,O,,O,55000,http://timg.danawa.com/prod_img/500000/750/928/img/1928750_1.jpg"
"POWEREX  REX III 600W Triple V2.3,POWEREX,ATX 파워,정격 600W,표기 600W,,120mm 팬,O,,,O,,,49000,http://timg.danawa.com/prod_img/500000/444/949/img/949444_1.jpg"
"쿨러마스터  MWE 500W 80PLUS Standard 230V EU,쿨러마스터,ATX 파워,정격 500W,,20핀+4핀,120mm 팬,O,,,O,,O,43500,http://timg.danawa.com/prod_img/500000/387/181/img/5181387_1.jpg"
"잘만  ZM500-LEII,잘만,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,,,,39500,http://timg.danawa.com/prod_img/500000/287/879/img/3879287_1.jpg"
"EPITECH ENERGY OPTIMUS Mach III 500K v2.3,EPITECH,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,,29220,http://timg.danawa.com/prod_img/500000/134/182/img/3182134_1.jpg"
"FSP  HYPER K 600W 80PLUS Standard 230V EU,FSP,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,,O,,,,O,56000,http://timg.danawa.com/prod_img/500000/461/027/img/4027461_1.jpg"
"POWEREX  REXIII DS 700W Single rail 12V DC to DC,POWEREX,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,O,,,61500,http://timg.danawa.com/prod_img/500000/319/796/img/1796319_1.jpg"
"SuperFlower  SF-650F14MT LEADEX SILVER,SuperFlower,ATX 파워,정격 650W,표기 650W,20핀+4핀,140mm 팬,O,,,,,O,103000,http://timg.danawa.com/prod_img/500000/823/272/img/3272823_1.jpg"
"잘만  ZM700-LEII,잘만,ATX 파워,정격 700W,표기 700W,20핀+4핀,120mm 팬,O,,,,,,52000,http://timg.danawa.com/prod_img/500000/435/879/img/3879435_1.jpg"
"SuperFlower  SF-650F14MT LEADEX SILVER (WHITE),SuperFlower,ATX 파워,정격 650W,표기 650W,20핀+4핀,140mm 팬,O,,,,,O,103000,http://timg.danawa.com/prod_img/500000/202/192/img/4192202_1.jpg"
