"SAPPHIRE  라데온 RX 560 OC D5 2GB PULSE,SAPPHIRE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,,210 mm,36 mm,최대 90W,135860,http://timg.danawa.com/prod_img/500000/559/168/img/5168559_1.jpg"
"MSI  지포스 GTX1050 OC D5 2GB 스톰,MSI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,177 mm,34 mm,최대 75W,146350,http://timg.danawa.com/prod_img/500000/669/597/img/4597669_1.jpg"
"이엠텍 HV 지포스 GTX1050 OC D5 2GB,이엠텍,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,181 mm,33 mm,최대 75W,147960,http://timg.danawa.com/prod_img/500000/960/610/img/4610960_1.jpg"
"ZOTAC  지포스 GTX1050 MINi D5 2GB,ZOTAC,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,144.78 mm,,최대 75W,148200,http://timg.danawa.com/prod_img/500000/054/587/img/4587054_1.jpg"
"inno3D  지포스 GTX1050 Compact D5 2GB,inno3D,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,145 mm,,최대 75W,142600,http://timg.danawa.com/prod_img/500000/051/587/img/4587051_1.jpg"
"갤럭시 GALAX 지포스 GTX1050 EXOC D5 2GB G天命,갤럭시,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,히트파이프+쿨러,245 mm,39 mm,최대 75W,152000,http://timg.danawa.com/prod_img/500000/565/663/img/4663565_1.jpg"
"MANLI  지포스 GTX1050 Black Frame Mini D5 2GB,MANLI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,,,O,,,,방열판,175 mm,40 mm,최대 75W,152250,http://timg.danawa.com/prod_img/500000/715/698/img/4698715_1.jpg"
"SAPPHIRE  라데온 RX 460 OC D5 2GB,SAPPHIRE,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,,,,136700,http://timg.danawa.com/prod_img/500000/020/347/img/4347020_1.jpg"
"ZOTAC  지포스 GT1030 D5 2GB LP,ZOTAC,NVIDIA,지포스 GT10xx,PCIe3.0x4,GDDR5(DDR5),2GB,64-bit,1개,,,,O,,O,,,,,172.5 mm,,최대 30W,91130,http://timg.danawa.com/prod_img/500000/136/149/img/5149136_1.jpg"
"MSI  지포스 GTX1050 OC D5 2GB 윈드스톰,MSI,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,,,,방열판+쿨러,215 mm,38 mm,최대 75W,157610,http://timg.danawa.com/prod_img/500000/660/597/img/4597660_1.jpg"
"GIGABYTE  라데온 RX 560 Gaming D5 2GB,GIGABYTE,AMD(ATi),라데온 RX 5xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,O,O,,O,O,,,히트파이프+쿨러,190 mm,37 mm,,154930,http://timg.danawa.com/prod_img/500000/971/158/img/5158971_1.jpg"
